Search,Study,Experiment,Dataset,Reference,Type,Culture,Mixed culture species IDs (strains),ID,Strain,Order,Family,Genus,Species,Growth medium,Type of fermentation,Final electron acceptor,Initial pH,Fermentation products listed,(An)aerobic?,Test temp (K),Variable 2,Variable 2 value,Variable 2 units,Variable 3,Variable 3 value,Variable 3 units,Rate_type,Rate,Rate units,1_kT,ln_rate
4,17,17-A,17-A-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,300.0805,,,,,,,Methane production,4.4087,nmol/hml,38.67284587,1.483579861
4,17,17-A,17-A-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,301.854,,,,,,,Methane production,8.4643,nmol/hml,38.4456291,2.135857319
4,17,17-A,17-A-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,303.6276,,,,,,,Methane production,11.9916,nmol/hml,38.2210541,2.484206405
4,17,17-A,17-A-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,305.1282,,,,,,,Methane production,16.7505,nmol/hml,38.03308552,2.818428109
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,274.7997,,,,,,,Methane production,2.632,nmol/hml,42.23063899,0.967744013
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,276.5211,,,,,,,Methane production,2.8801,nmol/hml,41.96774469,1.057825016
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,278.3208,,,,,,,Methane production,2.6435,nmol/hml,41.69636953,0.972103797
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,279.8075,,,,,,,Methane production,2.4462,nmol/hml,41.47482439,0.8945358
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,281.7637,,,,,,,Methane production,3.6242,nmol/hml,41.18687725,1.287633574
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,283.0939,,,,,,,Methane production,5.6892,nmol/hml,40.99334859,1.738569641
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,284.8153,,,,,,,Methane production,5.4523,nmol/hml,40.7455882,1.696037538
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,286.4585,,,,,,,Methane production,4.8516,nmol/hml,40.51186097,1.579308547
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,287.867,,,,,,,Methane production,4.9369,nmol/hml,40.31364111,1.596737604
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,289.5102,,,,,,,Methane production,5.2655,nmol/hml,40.08482922,1.661176108
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,291.0751,,,,,,,Methane production,8.3413,nmol/hml,39.86932213,2.12121908
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,292.4836,,,,,,,Methane production,7.9418,nmol/hml,39.67732524,2.07213995
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,293.892,,,,,,,Methane production,7.4211,nmol/hml,39.48718211,2.004327294
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,295.77,,,,,,,Methane production,8.4776,nmol/hml,39.23645713,2.137427391
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,297.0219,,,,,,,Methane production,8.1181,nmol/hml,39.07108171,2.094096137
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,298.8216,,,,,,,Methane production,9.6188,nmol/hml,38.83576999,2.263719517
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,300.3865,,,,,,,Methane production,9.3815,nmol/hml,38.63345032,2.238739665
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,302.0297,,,,,,,Methane production,9.5888,nmol/hml,38.42326409,2.260595751
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,303.8294,,,,,,,Methane production,9.5946,nmol/hml,38.19566811,2.26120044
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,305.3944,,,,,,,Methane production,9.7208,nmol/hml,37.99993361,2.27426792
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,306.8811,,,,,,,Methane production,14.5742,nmol/hml,37.81584114,2.679252842
4,17,17-B,17-B-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,308.446,,,,,,,Methane production,16.761,nmol/hml,37.62398256,2.819054759
4,17,17-D,17-D-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,308.1764,,,,,,,Acetate production,3.3422,nmol/hml,37.65689691,1.206629273
4,17,17-D,17-D-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,309.9294,,,,,,,Acetate production,9.1589,nmol/hml,37.44390473,2.214726084
4,17,17-D,17-D-01,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,311.7492,,,,,,,Acetate production,17.012,nmol/hml,37.22533025,2.833918977
4,17,17-D,17-D-02,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,318.8346,,,,,,,Butyrate production,0.7026,nmol/hml,36.3980789,-0.352967539
4,17,17-D,17-D-02,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,319.8397,,,,,,,Butyrate production,0.7993,nmol/hml,36.28369751,-0.224018934
4,17,17-D,17-D-02,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,322.0063,,,,,,,Butyrate production,0.9571,nmol/hml,36.03956483,-0.0438474
4,17,17-D,17-D-03,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,311.7684,,,,,,,Isopropanol production,1.1629,nmol/hml,37.22303776,0.150916885
4,17,17-D,17-D-03,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,313.3186,,,,,,,Isopropanol production,1.1703,nmol/hml,37.0388701,0.157260126
4,17,17-D,17-D-03,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,315.3226,,,,,,,Isopropanol production,1.6154,nmol/hml,36.80347341,0.479582604
4,17,17-D,17-D-03,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,316.8643,,,,,,,Isopropanol production,1.9522,nmol/hml,36.62440649,0.668956942
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,309.8433,,,,,,,Caproate production,0.664,nmol/hml,37.45430973,-0.40947313
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,311.5844,,,,,,,Caproate production,0.7854,nmol/hml,37.24501909,-0.241562137
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,315.2202,,,,,,,Caproate production,1.0764,nmol/hml,36.81542911,0.07362214
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,316.8075,,,,,,,Caproate production,1.1498,nmol/hml,36.63097283,0.139588014
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,318.8599,,,,,,,Caproate production,1.2176,nmol/hml,36.39519088,0.196881708
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,319.9425,,,,,,,Caproate production,1.3264,nmol/hml,36.27203928,0.282468505
4,17,17-D,17-D-04,"Schulz S, Matsuyama H, Conrad R (1997).  Temperature dependence of methane production from different precursors in a profundal sediment (Lake Constance).  FEMS Microbiology Ecology 22(3):207-213.",Methane producer,Mixed,,,,,,,,Sediment,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,321.9928,,,,,,,Caproate production,1.4781,nmol/hml,36.04107584,0.390757479
4,18,18-A,18-A-01,"Gray ND, Sherry A, Larter SR, Erdmann M, Leyris J, Liengen T, Beeder J, Head IM (2009).  Biogenic methane production in formation waters from a large gas field in the North Sea.  Extremophiles 13(3):511-519.",Methane producer,Mixed,,,,,,,,Na2S + water/oil mixture,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,313.25,,,,,,,Methane production,0.0585,mmol/lh,37.04698141,-2.838728525
4,18,18-A,18-A-01,"Gray ND, Sherry A, Larter SR, Erdmann M, Leyris J, Liengen T, Beeder J, Head IM (2009).  Biogenic methane production in formation waters from a large gas field in the North Sea.  Extremophiles 13(3):511-519.",Methane producer,Mixed,,,,,,,,Na2S + water/oil mixture,Batch fermentation,,,"Methane, acetate, lactate, propionate, butyrate, isopropanol,caproate",Anaerobic,332.8881,,,,,,,Methane production,0.2541,mmol/lh,34.86146524,-1.370027389
4,19,19-A,19-A-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,Methane,Anaerobic,288.0854,Substrate,Acetate,,,,,Methane production,14.6435,mmol/g dry weight /h,40.283079,2.683996551
4,19,19-A,19-A-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,Methane,Anaerobic,292.9933,Substrate,Acetate,,,,,Methane production,22.4588,mmol/g dry weight /h,39.60830137,3.11168252
4,19,19-A,19-A-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,Methane,Anaerobic,297.9556,Substrate,Acetate,,,,,Methane production,48.1864,mmol/g dry weight /h,38.94864512,3.875076824
4,19,19-A,19-A-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,Methane,Anaerobic,302.9146,Substrate,Acetate,,,,,Methane production,85.0011,mmol/g dry weight /h,38.31101877,4.442664198
4,19,19-A,19-A-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Acetate,Batch fermentation,,,Methane,Anaerobic,309.904,Substrate,Acetate,,,,,Methane production,140.6369,mmol/g dry weight /h,37.44697366,4.946181392
4,19,19-B,19-B-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,H2,Batch fermentation,,,Methane,Anaerobic,309.9826,Substrate,H2,,,,,Methane production,77.9526,mmol/g dry weight /h,37.43747851,4.35610095
4,19,19-B,19-B-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,H2,Batch fermentation,,,Methane,Anaerobic,302.9868,Substrate,H2,,,,,Methane production,43.6385,mmol/g dry weight /h,38.30188947,3.775939788
4,19,19-B,19-B-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,H2,Batch fermentation,,,Methane,Anaerobic,297.9018,Substrate,H2,,,,,Methane production,28.1421,mmol/g dry weight /h,38.95567911,3.337266676
4,19,19-B,19-B-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,H2,Batch fermentation,,,Methane,Anaerobic,293.0556,Substrate,H2,,,,,Methane production,14.3584,mmol/g dry weight /h,39.59988113,2.664335137
4,19,19-B,19-B-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,H2,Batch fermentation,,,Methane,Anaerobic,287.9075,Substrate,H2,,,,,Methane production,9.0947,mmol/g dry weight /h,40.30797018,2.207691826
4,19,19-C,19-C-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Propionate,Batch fermentation,,,Methane,Anaerobic,309.9377,Substrate,Propionate,,,,,Methane production,28.0579,mmol/g dry weight /h,37.442902,3.334270232
4,19,19-C,19-C-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Propionate,Batch fermentation,,,Methane,Anaerobic,302.995,Substrate,Propionate,,,,,Methane production,16.7731,mmol/g dry weight /h,38.3008529,2.819776413
4,19,19-C,19-C-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Propionate,Batch fermentation,,,Methane,Anaerobic,298.0266,Substrate,Propionate,,,,,Methane production,11.0882,mmol/g dry weight /h,38.93936624,2.40588148
4,19,19-C,19-C-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Propionate,Batch fermentation,,,Methane,Anaerobic,293.0576,Substrate,Propionate,,,,,Methane production,7.5354,mmol/g dry weight /h,39.59961088,2.019611916
4,19,19-C,19-C-01,"Fey A, Conrad R (2003).  Effect of temperature on the rate limiting step in the methanogenic degradation pathway in rice field soil.  Soil Biology and Biochemistry 35(1):1-8.",Methane producer,Mixed,,,,,,,,Propionate,Batch fermentation,,,Methane,Anaerobic,287.9689,Substrate,Propionate,,,,,Methane production,3.5528,mmol/g dry weight /h,40.29937582,1.267736025
6,20,20-A,20-A-01,"Trontel A, Barsic V, Slavica A, Santek B, Novak S (2010).  Modelling the effect of different substrates and temperature on the growth and lactic acid production by Lactobacillus amylovorus DSM 20531(T) in batch process.  Food Technology and Biotechnology 48(3):352-361.",Fermenter,Pure,,Lactobacillus amylovorus,DSM 20531T,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,MRS Starch,Batch fermentation,,5.5,Lactic acid,Anaerobic,312.9754,,,,,,,Specific growth,0.6651,/h,37.07948588,-0.407817874
6,20,20-A,20-A-01,"Trontel A, Barsic V, Slavica A, Santek B, Novak S (2010).  Modelling the effect of different substrates and temperature on the growth and lactic acid production by Lactobacillus amylovorus DSM 20531(T) in batch process.  Food Technology and Biotechnology 48(3):352-361.",Fermenter,Pure,,Lactobacillus amylovorus,DSM 20531T,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,MRS Starch,Batch fermentation,,5.5,Lactic acid,Anaerobic,307.8894,,,,,,,Specific growth,0.2514,/h,37.6919989,-1.380709983
6,20,20-A,20-A-02,"Trontel A, Barsic V, Slavica A, Santek B, Novak S (2010).  Modelling the effect of different substrates and temperature on the growth and lactic acid production by Lactobacillus amylovorus DSM 20531(T) in batch process.  Food Technology and Biotechnology 48(3):352-361.",Fermenter,Pure,,Lactobacillus amylovorus,DSM 20531T,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,MRS Starch,Batch fermentation,,5.5,Lactic acid,Anaerobic,302.8771,,,,,,,Lactate production,0.1229,product formation/hr,38.31576216,-2.096384262
6,20,20-A,20-A-02,"Trontel A, Barsic V, Slavica A, Santek B, Novak S (2010).  Modelling the effect of different substrates and temperature on the growth and lactic acid production by Lactobacillus amylovorus DSM 20531(T) in batch process.  Food Technology and Biotechnology 48(3):352-361.",Fermenter,Pure,,Lactobacillus amylovorus,DSM 20531T,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,MRS Starch,Batch fermentation,,5.5,Lactic acid,Anaerobic,312.9754,,,,,,,Lactate production,0.6231,product formation/hr,37.07948588,-0.473048259
6,20,20-A,20-A-02,"Trontel A, Barsic V, Slavica A, Santek B, Novak S (2010).  Modelling the effect of different substrates and temperature on the growth and lactic acid production by Lactobacillus amylovorus DSM 20531(T) in batch process.  Food Technology and Biotechnology 48(3):352-361.",Fermenter,Pure,,Lactobacillus amylovorus,DSM 20531T,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,MRS Starch,Batch fermentation,,5.5,Lactic acid,Anaerobic,317.9877,,,,,,,Lactate production,0.8858,product formation/hr,36.49501828,-0.121264087
6,21,21-A,21-A-01,"Adamberg K, Kask S, Laht TM, Paalme T (2003).  The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study.  International Journal of Food Microbiology 85(1-2):171-183.",Fermenter,Pure,,Lactobacillus paracasei,E1H3,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,Lactose,Continuous flow,,,,Anaerobic*,302.0509258,,,,,,,Specific lactate production rate,19.80629864,mmol/gdwt*h,38.420564,2.986
